in s,C1 in V
-3.582756E-01,3.0232468E+00
-3.581928E-01,3.0234756E+00
-3.581100E-01,3.0239334E+00
-3.580272E-01,3.0232468E+00
-3.579444E-01,3.0234756E+00
-3.578616E-01,3.0234756E+00
-3.577788E-01,3.0234756E+00
-3.576960E-01,3.0237808E+00
-3.576132E-01,3.0238571E+00
-3.575304E-01,3.0233231E+00
-3.574476E-01,3.0232468E+00
-3.573648E-01,3.0229416E+00
-3.572820E-01,3.0237045E+00
-3.571992E-01,3.0230179E+00
-3.571164E-01,3.0223312E+00
-3.570336E-01,3.0224838E+00
-3.569508E-01,3.0224838E+00
-3.568680E-01,3.0221024E+00
-3.567852E-01,3.0222549E+00
-3.567024E-01,3.0224075E+00
-3.566196E-01,3.0221786E+00
-3.565368E-01,3.0224075E+00
-3.564540E-01,3.0222549E+00
-3.563712E-01,3.0229416E+00
-3.562884E-01,3.0233231E+00
-3.562056E-01,3.0228653E+00
-3.561228E-01,3.0228653E+00
-3.560400E-01,3.0233994E+00
-3.559572E-01,3.0237045E+00
-3.558744E-01,3.0234756E+00
-3.557916E-01,3.0233231E+00
-3.557088E-01,3.0231705E+00
-3.556260E-01,3.0233994E+00
-3.555432E-01,3.0230179E+00
-3.554604E-01,3.0230179E+00
-3.553776E-01,3.0234756E+00
-3.552948E-01,3.0237808E+00
-3.552120E-01,3.0234756E+00
-3.551292E-01,3.0235519E+00
-3.550464E-01,3.0234756E+00
-3.549636E-01,3.0233994E+00
-3.548808E-01,3.0231705E+00
-3.547980E-01,3.0233231E+00
-3.547152E-01,3.0225601E+00
-3.546324E-01,3.0227890E+00
-3.545496E-01,3.0230179E+00
-3.544668E-01,3.0224838E+00
-3.543840E-01,3.0230942E+00
-3.543012E-01,3.0227127E+00
-3.542184E-01,3.0230942E+00
-3.541356E-01,3.0228653E+00
-3.540528E-01,3.0230179E+00
-3.539700E-01,3.0230179E+00
-3.538872E-01,3.0221024E+00
-3.538044E-01,3.0221024E+00
-3.537216E-01,3.0224838E+00
-3.536388E-01,3.0226364E+00
-3.535560E-01,3.0225601E+00
-3.534732E-01,3.0227127E+00
-3.533904E-01,3.0225601E+00
-3.533076E-01,3.0224838E+00
-3.532248E-01,3.0226364E+00
-3.531420E-01,3.0229416E+00
-3.530592E-01,3.0229416E+00
-3.529764E-01,3.0228653E+00
-3.528936E-01,3.0227127E+00
-3.528108E-01,3.0230942E+00
-3.527280E-01,3.0229416E+00
-3.526452E-01,3.0227890E+00
-3.525624E-01,3.0225601E+00
-3.524796E-01,3.0225601E+00
-3.523968E-01,3.0226364E+00
-3.523140E-01,3.0223312E+00
-3.522312E-01,3.0225601E+00
-3.521484E-01,3.0232468E+00
-3.520656E-01,3.0228653E+00
-3.519828E-01,3.0224838E+00
-3.519000E-01,3.0227127E+00
-3.518172E-01,3.0226364E+00
-3.517344E-01,3.0228653E+00
-3.516516E-01,3.0225601E+00
-3.515688E-01,3.0223312E+00
-3.514860E-01,3.0225601E+00
-3.514032E-01,3.0224075E+00
-3.513204E-01,3.0228653E+00
-3.512376E-01,3.0229416E+00
-3.511548E-01,3.0229416E+00
-3.510720E-01,3.0230942E+00
-3.509892E-01,3.0229416E+00
-3.509064E-01,3.0227890E+00
-3.508236E-01,3.0230942E+00
-3.507408E-01,3.0232468E+00
